id,object_type,slug,seo_title,seo_description,is_pillar_content,focus_keyword,seo_score,robots,advanced_robots,canonical_url,primary_term,schema_data,social_facebook_thumbnail,social_facebook_title,social_facebook_description,social_twitter_thumbnail,social_twitter_title,social_twitter_description,redirect_to,redirect_type
"2","post","sample-page","","","no","","","","","","","","","","","","","","",""
"3","post","privacy","","The privacy policy page for Liftout.com outlines the data collection, usage, and protection practices of our platform. Learn how we ensure the confidentiality of your personal and team information.","no","","8","","","","","","","","","","","","",""
"7","post","home","Liftout - Find Jobs With Coworkers And Get Hired Together ","Liftout is the direct hiring platform where teams showcase their skills and experience as a unified group for companies to discover and hire them all at once.


","no","liftout","84","","","","","","","","","","","","",""
"274","post","style","","","no","","","","","","","","","","","","","","",""
"496","post","find-teams","Don't Build - Onboard a Ready-made Team of Rockstars","Onboard complete teams and skip recruitment and team building pains. Liftout provides ready-made, high-performing teams to deliver instant expertise and results.","no","","13","","","","","","","","","","","","",""
"498","post","about","","","no","","8","","","","","","","","","","","","",""
"500","post","contact","","","no","","7","","","","","","","","","","","","",""
"1409","post","how-lift-outs-work","%title% - A Guide for Companies &amp; Teams %sep% %sitename%","Explore how lift-outs work, a discreet way to hire top-performing teams. From joining Liftout to connecting with employers, learn the step-by-step process.

","no","how liftouts work","61","","","","liftouts","","","","","","","","",""
"1463","post","team-lift-out","Why Hiring Full Teams is the Future of Recruitment %sep% %sitename%","Explore team lift-outs, a revolutionary hiring strategy. Learn the benefits, why employees move as a team, and how it's changing recruitment.","no","liftout","60","","","","liftouts","","","","","","","","",""
"2289","post","blog","","","no","","8","","","","","","","","","","","","",""
"2457","post","find-companies","","","no","","8","","","","","","","","","","","","",""
"2981","post","hiring-teams","Hiring Teams: Boosting Performance &amp; Satisfaction %sep% %sitename%","Discover the benefits of hiring teams over individuals: better collaboration, diversity, retention, efficiency, and financial performance with Liftout.
","no","hiring teams","60","","","","liftouts","","","","","","","","",""
"3006","post","book-demo","","","no","","7","","","","","","","","","","","","",""
"3138","post","non-compete-agreements","Navigating Non-Compete and Non-Solicitation Agreements","Non-compete agreements. Connect with top-quality talent and companies looking for teams. Sign up today and start building your dream team.","no","non-compete agreement","20","","","","liftouts","","","","","","","","",""
"3365","post","terms","","","no","","10","","","","","","","","","","","","",""
"3694","post","employment-contracts","Employment Contracts: Read This Before Signing One %sep% %sitename%","Navigate employment contracts with our guide on Non-Compete Agreements &amp; NDAs. Protect your career by understanding what to sign and what to avoid.","no","Employment Contracts","71","","","","contracts","","","","","","","","",""
"4575","post","how-to-ethically-resign-as-a-team","","","no","","13","","","","liftouts","","","","","","","","",""
"4660","post","california-bans-non-compete-agreements","California Strengthens Ban On Non-Competes, Empowers Workers","California's new legislation bans restrictive employment covenants, representing a seismic shift empowering professionals to take control of their careers.","no","","13","","","","contracts","","","","","","","","",""
"4673","post","ftc-non-compete-ban","FTC Targets Non-Competes in New Rule Proposal %sep% %sitename%","FTC proposes banning non-compete clauses to empower employee autonomy and spur career mobility and economic growth.","no","","13","","","","contracts","","","","","","","","",""
"4676","post","states-restrict-non-compete-agreements","","With increasing state bans and a proposed federal prohibition, non-compete agreements face a pivotal turning point as policymakers aim to empower career mobility.","no","","8","","","","contracts","","","","","","","","",""
"4684","post","minnesota-law-bans-employment-non-competes","","Minnesota's strict new ban on post-employment non-compete agreements represents a major win for employee freedom and career mobility within the state.","no","","8","","","","contracts","","","","","","","","",""
"4686","post","oklahoma-bans-non-compete-agreements","","Oklahoma law renders most non-compete agreements unenforceable, giving professionals far greater career autonomy and signaling a future with fewer constraints.","no","","9","","","","contracts","","","","","","","","",""
"4689","post","north-dakota-strictly-limits-non-compete-agreements","%title% ","With only narrow exceptions, North Dakota prohibits restraint of trade agreements like non-competes, signaling a future where merit, not legal limits, determines career paths.","no","","9","","","","contracts","","","","","","","","",""
"4692","post","states-restrict-noncompete-agreements","","With more states blocking or limiting non-compete agreements, a future favors worker empowerment and career self-determination rather than legal limitations.","no","","12","","","","contracts","","","","","","","","",""
"4694","post","new-york-to-ban-non-compete-agreements","%title% ","With New York poised to prohibit non-compete agreements, the state joins a small but growing list moving to empower career mobility and dynamism.","no","","9","","","","contracts","","","","","","","","",""
"4698","post","state-penalties-non-compete-violations","%title% ","A growing number of states impose fines or misdemeanor charges on employers who violate non-compete banning or limitation laws, upping the compliance ante.","no","","10","","","","contracts","","","","","","","","",""
"4719","post","steve-jobs-steve-wozniak-apple-teamwork","","The story of Steve Jobs and Steve Wozniak, the unlikely duo that sparked a personal computing revolution through complementary skills and constructive conflict.","no","Steve Jobs Steve Wozniak","14","","","","teamwork","","","","","","","","",""
"4811","post","","","","no","","4","","","","","","","","","","","","",""
"4830","post","","","","no","","4","","","","","","","","","","","","",""
"1","term","uncategorized","","","n/a","","","","","","n/a","n/a","","","","","","","",""
"5","term","learn","","","n/a","","","","","","n/a","n/a","","","","","","","",""
"6","term","liftouts","","","n/a","","","","","","n/a","n/a","","","","","","","",""
"7","term","contracts","","","n/a","","","","","","n/a","n/a","","","","","","","",""
"8","term","non-compete-agreements","","","n/a","","","","","","n/a","n/a","","","","","","","",""
"9","term","non-disclosure-agreements","","","n/a","","","","","","n/a","n/a","","","","","","","",""
"10","term","teamwork","","","n/a","","","","","","n/a","n/a","","","","","","","",""
"1","user","adminliftout-com","","","n/a","","","","","","n/a","n/a","","","","","","","n/a","n/a"
"2","user","nick","","","n/a","","","","","","n/a","n/a","","","","","","","n/a","n/a"
"3","user","supportbreakdance-com","","","n/a","","","","","","n/a","n/a","","","","","","","n/a","n/a"
